Date, Time In, Time Out, Total Time (HH:MM)
Dec-08, 10:18, 11:14, 0:56
Dec-08, 12:47, 20:01, 7:14
Dec-09, 11:54, 12:38, 0:44
Dec-09, 14:56, 19:05, 4:09
Dec-13, 13:07, 15:07, 2:00
Dec-21, 12:31, 15:38, 3:07
Dec-21, 15:38, 17:49, 2:11
